|track                                                                                                                                                                                            |artist                                                 |
|Lateralus                                                                                                                                                                                        |Tool                                                   |
|These Boots Are Made for Walking                                                                                                                                                                 |Nancy Sinatra                                          |
|Breathe (edit)                                                                                                                                                                                   |The Prodigy                                            |
|Bitter Sweet Symphony - Radio Edit                                                                                                                                                               |The Verve                                              |
|Where Is My Mind?                                                                                                                                                                                |Pixies                                                 |
|Blinded                                                                                                                                                                                          |The Bots                                               |
|Toxicity                                                                                                                                                                                         |System of a Down                                       |
|So Lonely                                                                                                                                                                                        |The Police                                             |
|Man on the Moon                                                                                                                                                                                  |R.E.M.                                                 |
|My Game                                                                                                                                                                                          |Deluxe                                                 |
|Thrash Unreal                                                                                                                                                                                    |Against Me!                                            |
|Accidents and Compliments                                                                                                                                                                        |Soulwax                                                |
|A Ballad to Forget                                                                                                                                                                               |Soulwax                                                |
|Slowdance                                                                                                                                                                                        |Soulwax                                                |
|Krack                                                                                                                                                                                            |Soulwax                                                |
|Compute                                                                                                                                                                                          |Soulwax                                                |
|Please… Don’t Be Yourself                                                                                                                                                                        |Soulwax                                                |
|Any Minute Now                                                                                                                                                                                   |Soulwax                                                |
|E Talking                                                                                                                                                                                        |Soulwax                                                |
|Teachers - Pupil Mix                                                                                                                                                                             |Soulwax                                                |
|E Talking - Jagz Kooner Black September Vocal Mix                                                                                                                                                |Soulwax                                                |
|E Talking - Rex The Dog Mix                                                                                                                                                                      |Soulwax                                                |
|E Talking - Tiga's Disco Drama Remix                                                                                                                                                             |Soulwax                                                |
|E Talking - Soulwax Nite Version feat. Nancy Whang                                                                                                                                               |Soulwax                                                |
|E Talking - Radio Edit                                                                                                                                                                           |Soulwax                                                |
|Another Excuse - DFA Remix                                                                                                                                                                       |Soulwax                                                |
|Accidents And Compliments                                                                                                                                                                        |Soulwax feat. Nancy Whang                              |
|Krack                                                                                                                                                                                            |Soulwax                                                |
|I Love Techno                                                                                                                                                                                    |Soulwax                                                |
|Slowdance                                                                                                                                                                                        |Soulwax                                                |
|Compute                                                                                                                                                                                          |Soulwax                                                |
|E-Talking                                                                                                                                                                                        |Soulwax                                                |
|Miserable Girl                                                                                                                                                                                   |Soulwax                                                |
|Teachers                                                                                                                                                                                         |Soulwax                                                |
|Another Excuse - DFA Remix                                                                                                                                                                       |Soulwax                                                |
|Teachers                                                                                                                                                                                         |Soulwax                                                |
|Conversation Intercom                                                                                                                                                                            |Soulwax                                                |
|Miserable Girl                                                                                                                                                                                   |Soulwax                                                |
|Much Against Everyone's Advice                                                                                                                                                                   |Soulwax                                                |
|E-Talking                                                                                                                                                                                        |Soulwax                                                |
|E Talking - Radio Edit                                                                                                                                                                           |Soulwax                                                |
|NY Excuse                                                                                                                                                                                        |Soulwax                                                |
|Krack                                                                                                                                                                                            |Soulwax                                                |
|Too Many DJs                                                                                                                                                                                     |Soulwax                                                |
|8 Years                                                                                                                                                                                          |Colour Revolt                                          |
|Leech                                                                                                                                                                                            |Sylosis                                                |
|Bright Lights                                                                                                                                                                                    |Gary Clark Jr.                                         |
|Spread Your Love                                                                                                                                                                                 |Black Rebel Motorcycle Club                            |
|A Modern Way Of Letting Go                                                                                                                                                                       |Idlewild                                               |
|In Bloom                                                                                                                                                                                         |Nirvana                                                |
|Sunshine of Your Love                                                                                                                                                                            |Cream                                                  |
|The River                                                                                                                                                                                        |Bruce Springsteen                                      |
|Don't Stop Me Now                                                                                                                                                                                |Queen                                                  |
|Heartbreaker                                                                                                                                                                                     |Pat Benatar                                            |
|The Passenger                                                                                                                                                                                    |Iggy Pop                                               |
|Born To Be Wild - Single Version                                                                                                                                                                 |Steppenwolf                                            |
|I Don't Want to Miss a Thing                                                                                                                                                                     |Aerosmith                                              |
|I Love Rock 'n' Roll (In the Style of Joan Jett & the Blackhearts) [Performance Track with Demonstration Vocals]                                                                                 |Done Again                                             |
|Englishman in New York                                                                                                                                                                           |Sting                                                  |
|Somebody Told Me                                                                                                                                                                                 |The Killers                                            |
|Sweet Home Alabama                                                                                                                                                                               |Lynyrd Skynyrd                                         |
|Don't Drag Me Down                                                                                                                                                                               |Social Distortion                                      |
|Fall to Pieces                                                                                                                                                                                   |Velvet Revolver                                        |
|Woman                                                                                                                                                                                            |Wolfmother                                             |
|Cryin'                                                                                                                                                                                           |Aerosmith                                              |
|Knockin' on Heaven's Door                                                                                                                                                                        |Guns N' Roses                                          |
|The Pretender                                                                                                                                                                                    |Foo Fighters                                           |
|Bitter Sweet Symphony - 2004 Digital Remaster                                                                                                                                                    |The Verve                                              |
|Burning                                                                                                                                                                                          |The Whitest Boy Alive                                  |
|An End Has A Start                                                                                                                                                                               |Editors                                                |
|California - Tchad Blake Remix                                                                                                                                                                   |Phantom Planet                                         |
|Use Somebody                                                                                                                                                                                     |Kings of Leon                                          |
|Enjoy the Silence                                                                                                                                                                                |Nada Surf                                              |
|Smoke On the Water - 1971 Recording                                                                                                                                                              |Deep Purple                                            |
|Seven Nation Army                                                                                                                                                                                |The White Stripes                                      |
|School's Out (Album/Single Version)                                                                                                                                                              |Alice Cooper                                           |
|Are You Gonna Go My Way                                                                                                                                                                          |Lenny Kravitz                                          |
|Start Me Up - Remastered                                                                                                                                                                         |The Rolling Stones                                     |
|Pride And Joy                                                                                                                                                                                    |Stevie Ray Vaughan                                     |
|By The Sword - feat. Andrew Stockdale or Wolfmother                                                                                                                                              |Slash                                                  |
|My Sharona                                                                                                                                                                                       |The Knack                                              |
|Livin' on a Prayer                                                                                                                                                                               |Bon Jovi                                               |
|Welcome to the Jungle                                                                                                                                                                            |Guns N' Roses                                          |
|Creep                                                                                                                                                                                            |Radiohead                                              |
|With or Without You                                                                                                                                                                              |U2                                                     |
|Fallen - Edit                                                                                                                                                                                    |Volbeat                                                |
|Always Where I Need to Be                                                                                                                                                                        |The Kooks                                              |
|Walk This Way - Live Version (Explicit)                                                                                                                                                          |Aerosmith                                              |
|Lithium                                                                                                                                                                                          |Nirvana                                                |
|It's My Life                                                                                                                                                                                     |Bon Jovi                                               |
|Message In A Bottle - 2003 Stereo Remastered Version                                                                                                                                             |The Police                                             |
|Rock And Roll All Nite                                                                                                                                                                           |Kiss                                                   |
|Sweet Child o' Mine                                                                                                                                                                              |Guns N' Roses                                          |
|Rape Me                                                                                                                                                                                          |Nirvana                                                |
|Smells Like Teen Spirit                                                                                                                                                                          |Nirvana                                                |
|Jonchaies                                                                                                                                                                                        |Iannis Xenakis                                         |
|Off & On                                                                                                                                                                                         |Findlay                                                |
|Ka$cade                                                                                                                                                                                          |Animals as Leaders                                     |
|Bleed                                                                                                                                                                                            |Meshuggah                                              |
|Die MF Die                                                                                                                                                                                       |Dope                                                   |
|Gravity                                                                                                                                                                                          |Papa Roach                                             |
|Contemptress                                                                                                                                                                                     |Motionless In White feat. Maria Brink                  |
|Big Mouth                                                                                                                                                                                        |Red Dragon Cartel                                      |
|Anywhere But Here                                                                                                                                                                                |Five Finger Death Punch                                |
|Here's To Us - Guest Version                                                                                                                                                                     |Halestorm                                              |
|Sex Metal Barbie                                                                                                                                                                                 |In This Moment                                         |
|Adrenalize                                                                                                                                                                                       |In This Moment                                         |
|Blood                                                                                                                                                                                            |In This Moment                                         |
|Whore                                                                                                                                                                                            |In This Moment                                         |
|The Rabbit Hole                                                                                                                                                                                  |In This Moment                                         |
|Carnivore                                                                                                                                                                                        |Starset                                                |
|My Demons                                                                                                                                                                                        |Starset                                                |
|Neon In The Dance Halls                                                                                                                                                                          |Fearless Vampire Killers                               |
|Bow Ties On Dead Guys                                                                                                                                                                            |Fearless Vampire Killers                               |
|Beast Within                                                                                                                                                                                     |In This Moment                                         |
|Interview 'Beast Within'                                                                                                                                                                         |In This Moment                                         |
|Blazin'                                                                                                                                                                                          |In This Moment                                         |
|Interview 'Live Dvd'                                                                                                                                                                             |In This Moment                                         |
|Adrenalize                                                                                                                                                                                       |In This Moment                                         |
|Rise With Me                                                                                                                                                                                     |In This Moment                                         |
|It Is Written                                                                                                                                                                                    |In This Moment                                         |
|Out of Hell                                                                                                                                                                                      |In This Moment                                         |
|Into the Darkness                                                                                                                                                                                |In This Moment                                         |
|Natural Born Sinner                                                                                                                                                                              |In This Moment                                         |
|Bones                                                                                                                                                                                            |In This Moment                                         |
|The Fighter                                                                                                                                                                                      |In This Moment                                         |
|Bloody Creature Poster Girl                                                                                                                                                                      |In This Moment                                         |
|Sick Like Me                                                                                                                                                                                     |In This Moment                                         |
|Sexual Hallucination (feat. Brent Smith)                                                                                                                                                         |In This Moment                                         |
|Black Widow                                                                                                                                                                                      |In This Moment                                         |
|Dirty Pretty                                                                                                                                                                                     |In This Moment                                         |
|Big Bad Wolf                                                                                                                                                                                     |In This Moment                                         |
|Sex Metal Barbie                                                                                                                                                                                 |In This Moment                                         |
|The Infection                                                                                                                                                                                    |In This Moment                                         |
|To Plant a Seed                                                                                                                                                                                  |We Came As Romans                                      |
|My Love (Justin Timberlake cover)                                                                                                                                                                |We Came As Romans                                      |
|Hope                                                                                                                                                                                             |We Came As Romans                                      |
|I Knew You Were Trouble                                                                                                                                                                          |We Came As Romans                                      |
|The Death Of Me                                                                                                                                                                                  |Asking Alexandria                                      |
|Killing You                                                                                                                                                                                      |Asking Alexandria                                      |
|Don't Pray For Me                                                                                                                                                                                |Asking Alexandria                                      |
|Strength in Numbers                                                                                                                                                                              |Times of Grace                                         |
|Bury Me Where I Fall                                                                                                                                                                             |36 Crazyfists                                          |
|Slit Wrist Theory                                                                                                                                                                                |36 Crazyfists                                          |
|Eightminutesupsidedown                                                                                                                                                                           |36 Crazyfists                                          |
|An Agreement Called Forever                                                                                                                                                                      |36 Crazyfists                                          |
|One More Word                                                                                                                                                                                    |36 Crazyfists                                          |
|Turns to Ashes                                                                                                                                                                                   |36 Crazyfists                                          |
|Tomorrow's Song                                                                                                                                                                                  |Ólafur Arnalds                                         |
|Near Light                                                                                                                                                                                       |Ólafur Arnalds                                         |
|Þú ert jörðin                                                                                                                                                                                    |Ólafur Arnalds                                         |
|Black Tears                                                                                                                                                                                      |Heaven Shall Burn                                      |
|Endzeit                                                                                                                                                                                          |Heaven Shall Burn                                      |
|Somehow Familiar                                                                                                                                                                                 |Fabrizio Paterlini                                     |
|Soffia La Notte - Night Breaths                                                                                                                                                                  |Fabrizio Paterlini                                     |
|Peaceful                                                                                                                                                                                         |Carly Comando                                          |
|Fall                                                                                                                                                                                             |Carly Comando                                          |
|Fairy Princess                                                                                                                                                                                   |Carly Comando                                          |
|Bear                                                                                                                                                                                             |Carly Comando                                          |
|Introduction                                                                                                                                                                                     |Carly Comando                                          |
|Schindlers Liste: Thema (Schindlers Liste): Theme (Shindler's List)                                                                                                                              |John Williams                                          |
|LA City - Instrumental                                                                                                                                                                           |Connie Lim                                             |
|Questions                                                                                                                                                                                        |Dustin O'Halloran                                      |
|Oceano                                                                                                                                                                                           |Roberto Cacciapaglia                                   |
|Crescendo (Final)                                                                                                                                                                                |Sebastian                                              |
|Lady                                                                                                                                                                                             |MVT                                                    |
|Baffle                                                                                                                                                                                           |Lusine                                                 |
|Heartstrings                                                                                                                                                                                     |Rolf Løvland                                           |
|What's Your Damage?                                                                                                                                                                              |Test Icicles                                           |
|Too Many DJs                                                                                                                                                                                     |Soulwax                                                |
|Dollars & Dimes                                                                                                                                                                                  |Skindred                                               |
|Open Eyed                                                                                                                                                                                        |Skindred                                               |
|We Live                                                                                                                                                                                          |Skindred                                               |
|The Kids Are Right Now                                                                                                                                                                           |Skindred                                               |
|Ninja                                                                                                                                                                                            |Skindred                                               |
|World's on Fire                                                                                                                                                                                  |Skindred                                               |
|Playing With The Devil                                                                                                                                                                           |Skindred                                               |
|Ruling Force                                                                                                                                                                                     |Skindred                                               |
|Kill the Power                                                                                                                                                                                   |Skindred                                               |
